@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
63.333333,36,71,71,63.333333,62.333333,54.333333,64.333333,63,63,52.666667,63.666667,63.666667,65,43,65,plant1
68.333333,36,67,76,68.333333,65.333333,54.333333,65.333333,66,64.666667,52.333333,64.333333,65.666667,66.666667,50.333333,65.333333,plant1
73.666667,35,59,81,72.666667,69.666667,55.666667,71,70.333333,68,52.333333,66.666667,68,68,52,67.333333,plant1
61.333333,36,57,67,61.333333,60.333333,48.666667,62,60.333333,58.333333,37.666667,61.333333,60,61.333333,37.666667,63,plant1
63,37,59,69,63,63,56.666667,62.333333,63,62.333333,48.666667,63,62,60,37.666667,62,plant1
59.666667,37,65,66,59.666667,62.666667,54.666667,62,61.666667,62.666667,53.333333,62.333333,61.666667,59.666667,37.666667,61.666667,plant1
58.666667,37,66,65,58.666667,59.333333,53.333333,57.333333,59.333333,59.666667,42.333333,59.666667,60,60,42.333333,61.666667,plant1
53.333333,40,80,60,53.333333,54.666667,42.333333,54.666667,54.666667,56.333333,42.333333,56.333333,57.666667,60.333333,42.333333,61.666667,plant1
44.333333,40,95,51,45.333333,49.333333,42.333333,49.333333,49.333333,54.666667,42.333333,54.666667,56,61,42.333333,61.666667,plant1
43,40,102,50,44,49.333333,42.333333,49.333333,49,55.333333,42.333333,55.333333,56.333333,61.333333,42.333333,62.333333,plant1
50.666667,40,92,58,50.666667,54,43,52,53.666667,56.666667,42.333333,56.666667,58,62,42.333333,62.666667,plant1
56.666667,40,83,64,56.666667,57.333333,50.666667,56.666667,57.333333,58.666667,43,57,59.666667,62,42.333333,63,plant1
54.333333,36,82,62,54.333333,58.333333,52.666667,56.666667,57.333333,60.333333,50.666667,60.666667,61,63,42.333333,64,plant1
54.333333,36,82,62,54.333333,57.666667,52.666667,54.333333,57.333333,61,52,61.666667,61.666667,64.333333,43,64.333333,plant1
55.666667,35,76,63,55.666667,59.333333,52.333333,55.666667,58.666667,62,52,61.666667,63,66,50.333333,65.333333,plant1
57.666667,35,74,65,58,61.666667,52.333333,57.666667,61,64.333333,52.333333,62,65,67.333333,52,67.666667,plant1
64.333333,36,54,70,64.333333,61.333333,52.666667,62,62.333333,59.333333,40.666667,62,60.333333,61.333333,37.666667,63,plant1
62,37,60,68,62,63,56.666667,63,63,63,52.666667,62.333333,62,61,37.666667,63,plant1
56.666667,37,68,63,57.666667,60.666667,54.666667,59.666667,60,63,53.333333,63,62,61,40,62.666667,plant1
54.666667,37,71,61,55.333333,58.333333,53.333333,58.666667,57.666667,60.666667,44.333333,61.666667,60.666667,60.666667,42.333333,62,plant1
57,38,75,64,57,56.333333,44.333333,57,56.666667,57.333333,42.333333,58.666667,58.333333,60.666667,42.333333,61.666667,plant1
53.333333,40,80,60,53.333333,54.333333,43,53.333333,54.333333,56,42.333333,55.666667,57.666667,60.666667,42.333333,61.333333,plant1
49.333333,40,86,56,50.333333,53.333333,43,52,53.333333,57.333333,42.333333,57,58,61.333333,42.333333,61.333333,plant1
52,40,86,59,53,56,43,56.666667,55.333333,58.333333,43,57,59,62.333333,42.333333,63,plant1
57,40,79,64,57,57.666667,50.666667,56.666667,57.666667,60,43,60.666667,60.666667,63.333333,42.333333,64,plant1
52.666667,35,80,60,53.666667,58,52.666667,56.666667,57,61,50.666667,61.666667,61.333333,64.333333,43,64,plant1
54.333333,36,82,62,54.333333,57.666667,52.666667,54.333333,57,61.333333,52,61.333333,62,65,43,65,plant1
