@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
54.666667,49,78,62,60.666667,60.666667,61.333333,28.333333,54.666667,27.333333,50.333333,60.333333,56.666667,55.666667,21.666667,50.333333,63.666667,57.666667,57.666667,9,50.333333,68.333333,60.333333,plant1
59.333333,51,72,67,60.333333,60.333333,61.333333,27,59.333333,26,53.666667,63.666667,59.333333,59.333333,18.666667,50.333333,64.666667,59.333333,58.666667,5,47.333333,66.666667,60.333333,plant1
61.333333,51,70,69,59.333333,59.333333,59.333333,11.666667,61.333333,11.666667,56.666667,64.666667,60.333333,60.666667,10,50.333333,65.666667,60.333333,59.333333,6.333333,45.333333,66.666667,59.333333,plant1
59.333333,51,72,67,59.333333,59.333333,60.333333,39,59.333333,37.333333,50.333333,64.666667,61.333333,59.333333,30,47.333333,66.666667,59.333333,58.333333,17.666667,43,66.666667,58.666667,plant1
55.666667,49,76,63,60.333333,60.333333,60.333333,57,55.666667,55,47.333333,64.666667,55.666667,55.666667,43.666667,45.333333,66.666667,56.666667,55.666667,25.666667,40.333333,66.666667,56.666667,plant1
66.666667,49,65,74,61.666667,61.666667,61.666667,17,66.666667,16,63.666667,68.333333,65.666667,65.666667,10.666667,60.333333,68.333333,63.666667,63.333333,3,50.333333,68.333333,61.333333,plant1
65.666667,49,66,73,61.333333,61.333333,61.333333,25.666667,65.666667,24.666667,60.333333,68.333333,63.666667,64.333333,20.333333,54.666667,68.333333,63.666667,62.333333,12,50.333333,72.666667,61.333333,plant1
60.333333,51,71,68,60,60,60,40,60.333333,39,54.666667,65.666667,60.333333,60.333333,31.333333,50.333333,68.333333,61.333333,60.333333,17,50.333333,72.666667,61.333333,plant1
54.666667,49,78,62,57.333333,57.333333,57.333333,37.666667,54.666667,36.666667,50.333333,60.333333,54.666667,55.666667,30,50.333333,65.666667,56.666667,57.666667,16,50.333333,72.666667,60.333333,plant1
50.333333,51,83,58,57.333333,57.333333,57.333333,18.333333,50.333333,18,50.333333,56.666667,53.666667,52.666667,14.333333,50.333333,61.333333,54.666667,56.333333,9,50.333333,72.666667,60.333333,plant1
50.333333,51,83,58,58.666667,58.666667,59.333333,14.333333,50.333333,14.333333,50.333333,55.666667,53.666667,52.333333,11.333333,50.333333,61.333333,54.666667,56.333333,5,50.333333,68.333333,60.333333,plant1
53.666667,49,79,61,58,58,58,33.666667,53.666667,32.666667,50.333333,61.333333,54.666667,55.333333,26.666667,50.333333,64.666667,56.666667,57.666667,11,50.333333,66.666667,60.333333,plant1
59.333333,51,72,67,59.333333,59.333333,59.333333,36.666667,59.333333,35,53.666667,64.666667,59.333333,59.333333,27,50.333333,65.666667,60.333333,59.333333,10.666667,49.666667,66.666667,60.333333,plant1
63.666667,49,68,71,59.333333,59.333333,60,21.333333,63.666667,20.333333,59.333333,65.666667,61.333333,62.333333,17.333333,53.666667,66.666667,61.333333,60.333333,7.666667,45.666667,66.666667,59.333333,plant1
64.666667,49,67,72,61,61.333333,61.333333,27,64.666667,26.666667,55.666667,66.666667,63.666667,62.666667,22.666667,49.666667,66.666667,61.333333,59.666667,15,45.333333,66.666667,58.666667,plant1
63.666667,49,68,71,61,61,61,52.666667,62.666667,51.333333,49.666667,66.666667,59.333333,60.666667,41.333333,45.666667,66.666667,58.666667,57.666667,23.666667,43,66.666667,57.333333,plant1
68.333333,51,63,76,61.666667,61.666667,61.666667,10.666667,68.333333,10.666667,63.666667,68.333333,65.666667,66.333333,9,59.333333,68.333333,63.666667,63.333333,6.666667,50.333333,68.333333,61,plant1
65.666667,49,66,73,61.333333,61.333333,61.333333,25.666667,65.666667,25.666667,60.333333,68.333333,64.666667,64.333333,22.333333,54.666667,68.333333,63.666667,61.666667,13,50.333333,68.333333,61.333333,plant1
60.333333,51,71,68,58.666667,58.666667,60.333333,42,60.333333,41,54.666667,65.666667,60.333333,60.333333,33,50.333333,68.333333,60.333333,59.666667,17,50.333333,68.333333,60.333333,plant1
54.666667,49,78,62,58.333333,58.333333,58.333333,38.666667,54.666667,37.666667,50.333333,61.333333,54.666667,55.333333,29,50.333333,65.666667,54.666667,57.666667,14,50.333333,68.333333,60.333333,plant1
50.333333,51,83,58,56.666667,56.666667,56.666667,14.333333,50.333333,13.333333,50.333333,54.666667,52.666667,52.333333,10.333333,50.333333,61.333333,54.666667,56.333333,4.333333,50.333333,68.333333,60,plant1
51.333333,51,82,59,58.666667,58.666667,58.666667,28,51.333333,27,50.333333,60.333333,52.666667,53.333333,21.333333,50.333333,64.666667,54.666667,56.666667,8.333333,50.333333,66.666667,60.333333,plant1
55.666667,49,76,63,59.333333,59.333333,59.333333,45,55.666667,44,50.333333,64.666667,55.666667,56.666667,34,50.333333,66.666667,59.333333,58.333333,14.666667,50.333333,66.666667,60.333333,plant1
61.333333,51,70,69,59.333333,59.333333,59.333333,37.333333,61.333333,36.333333,53.666667,64.666667,61.333333,60.666667,28.666667,50.333333,66.666667,61.333333,60,13,50.333333,66.666667,59.333333,plant1
64.666667,49,67,72,61,61,61.333333,16,64.666667,16,59.333333,65.666667,64.666667,63.666667,14,53.666667,66.666667,63.666667,61.333333,6.666667,47.666667,66.666667,58.666667,plant1
65.666667,49,66,73,60.666667,60.666667,60.666667,4.333333,65.666667,3.666667,63.666667,66.666667,64.666667,64.666667,7.333333,54.333333,66.666667,63.666667,61,10.333333,45.666667,66.666667,59,plant1
66.666667,49,65,74,61,61,61,31.666667,66,31,54.333333,66.666667,64.333333,63,28,47.666667,66.666667,60.333333,59.333333,18.333333,45.333333,66.666667,58.666667,plant1
64.666667,49,67,72,61.333333,61.333333,61.333333,28.333333,64.666667,27.333333,59.333333,68.333333,64.666667,64.333333,20.333333,57,68.333333,62.666667,61.666667,11.666667,50.333333,68.333333,60.333333,plant1
63.666667,49,68,71,60.333333,61,61,21.666667,63.666667,21.333333,59.333333,68.333333,62.666667,62.666667,20,54.666667,68.333333,61.333333,61,12.333333,50.333333,68.333333,59.333333,plant1
61.333333,51,70,69,60,60,60,32.666667,61.333333,31.666667,54.666667,65.666667,60.333333,60.333333,26,50.333333,68.333333,60.333333,59.666667,13.333333,50.333333,68.333333,60,plant1
54.666667,49,78,62,58.333333,58.333333,59,36.333333,54.666667,34.666667,50.333333,62.666667,54.666667,56,24.666667,50.333333,65.666667,57.333333,57.666667,10.333333,50.333333,68.333333,59.666667,plant1
52.666667,49,80,60,58,58.666667,58.666667,17.666667,52.666667,17.666667,50.333333,59.333333,54.666667,54,15,50.333333,64.666667,55.666667,56.666667,6,50.333333,68.333333,59.666667,plant1
54.666667,49,78,62,58.333333,59.333333,59.333333,42,54.666667,41,50.333333,64.666667,54.666667,55.666667,30.333333,50.333333,66.666667,55.666667,57.666667,11,50.333333,66.666667,59.333333,plant1
60.333333,51,71,68,59.333333,59.333333,59.333333,48.666667,60.333333,46.666667,51.333333,66.666667,60.333333,59.666667,34,50.333333,66.666667,60.333333,59,13.666667,50.333333,66.666667,58.666667,plant1
64.666667,49,67,72,59.333333,59.333333,59.333333,25,64.666667,24,55.666667,66.666667,64.666667,63.333333,19.666667,51.333333,66.666667,63.666667,60.666667,10.333333,50.333333,66.666667,58.666667,plant1
64.666667,49,67,72,61,61,61,3,64.666667,2.333333,60.333333,66.666667,64.666667,63.666667,3,55.666667,66.666667,64.333333,61.666667,2.666667,50.333333,66.666667,59,plant1
64.666667,49,67,72,60.333333,60.333333,60.333333,19.666667,64.666667,18.666667,59,66.666667,64.666667,63.666667,12.666667,57.333333,66.666667,63.666667,61.333333,5.333333,47.666667,66.666667,59,plant1
64.666667,47,61,71,61,61,61,27.333333,64.666667,26.333333,58,66.666667,60.666667,62.666667,19,52,66.666667,59.666667,60.666667,11.333333,45.666667,66.666667,59.333333,plant1
61.333333,51,70,69,60,60,60,28,61.333333,27,57,65.666667,61.333333,61,22.666667,55.666667,68.333333,61.333333,60.333333,14.666667,49.666667,68.333333,57.666667,plant1
59.333333,51,72,67,60.666667,60.666667,60.666667,20.333333,59.333333,19.333333,57,64.666667,61.333333,60.666667,17,54.666667,68.333333,60.333333,59.666667,11,50.333333,68.333333,58.666667,plant1
62.666667,49,69,70,60.666667,60.666667,60.666667,16.333333,62,16.333333,54.666667,63.666667,59.333333,59.666667,14.666667,52.666667,65.666667,58,59,8.333333,50.333333,68.333333,59,plant1
55.666667,49,76,63,59.333333,59.333333,59.333333,30,55.666667,27.666667,52.666667,62.666667,57.333333,57,16,50.333333,63.666667,57.666667,58,5.666667,50.333333,68.333333,59,plant1
54.666667,49,78,62,57.666667,57.666667,57.666667,21,54.666667,20,52.666667,60.666667,55.666667,56.333333,14.666667,50.333333,64.666667,58.666667,57.666667,4.666667,50.333333,66.666667,58.666667,plant1
59.333333,51,72,67,59.333333,59.333333,59.333333,39.333333,59.333333,37.333333,52.666667,64.666667,59.333333,58.666667,25.333333,50.333333,66.666667,57.333333,58.666667,8.333333,50.333333,66.666667,58,plant1
64.666667,49,67,72,59.333333,59.333333,59.333333,30.666667,64.666667,29.333333,54.666667,66.666667,63.666667,62.666667,21,51.333333,66.666667,60.333333,59.666667,9.333333,50.333333,66.666667,58,plant1
